map_key,location_name,route_level_min,route_level_max,encounter_type,time_of_day,slot_index,odds_percent,species_display,species_constant,level_min,level_max
ROUTE_29,Route 29,6,9,land,Morning,0,30,Sentret,SPECIES_SENTRET,6,9
ROUTE_29,Route 29,6,9,land,Morning,1,20,Ledyba,SPECIES_LEDYBA,6,9
ROUTE_29,Route 29,6,9,land,Morning,2,15,Starly,SPECIES_STARLY,6,9
ROUTE_29,Route 29,6,9,land,Morning,3,10,Fletchling,SPECIES_FLETCHLING,6,9
ROUTE_29,Route 29,6,9,land,Morning,4,5,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Morning,5,5,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Morning,6,1,Hoothoot,SPECIES_HOOTHOOT,6,9
ROUTE_29,Route 29,6,9,land,Morning,7,5,Ledyba,SPECIES_LEDYBA,6,9
ROUTE_29,Route 29,6,9,land,Morning,8,3,Starly,SPECIES_STARLY,6,9
ROUTE_29,Route 29,6,9,land,Morning,9,4,Fletchling,SPECIES_FLETCHLING,6,9
ROUTE_29,Route 29,6,9,land,Morning,10,1,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Morning,11,1,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Day,0,30,Sentret,SPECIES_SENTRET,6,9
ROUTE_29,Route 29,6,9,land,Day,1,20,Ledyba,SPECIES_LEDYBA,6,9
ROUTE_29,Route 29,6,9,land,Day,2,15,Starly,SPECIES_STARLY,6,9
ROUTE_29,Route 29,6,9,land,Day,3,10,Fletchling,SPECIES_FLETCHLING,6,9
ROUTE_29,Route 29,6,9,land,Day,4,5,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Day,5,5,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Day,6,1,Hoothoot,SPECIES_HOOTHOOT,6,9
ROUTE_29,Route 29,6,9,land,Day,7,5,Ledyba,SPECIES_LEDYBA,6,9
ROUTE_29,Route 29,6,9,land,Day,8,3,Starly,SPECIES_STARLY,6,9
ROUTE_29,Route 29,6,9,land,Day,9,4,Fletchling,SPECIES_FLETCHLING,6,9
ROUTE_29,Route 29,6,9,land,Day,10,1,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Day,11,1,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Night,0,30,Hoothoot,SPECIES_HOOTHOOT,6,9
ROUTE_29,Route 29,6,9,land,Night,1,20,Spinarak,SPECIES_SPINARAK,6,9
ROUTE_29,Route 29,6,9,land,Night,2,15,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Night,3,10,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Night,4,5,Sentret,SPECIES_SENTRET,6,9
ROUTE_29,Route 29,6,9,land,Night,5,5,Starly,SPECIES_STARLY,6,9
ROUTE_29,Route 29,6,9,land,Night,6,1,Hoothoot,SPECIES_HOOTHOOT,6,9
ROUTE_29,Route 29,6,9,land,Night,7,5,Spinarak,SPECIES_SPINARAK,6,9
ROUTE_29,Route 29,6,9,land,Night,8,3,Bidoof,SPECIES_BIDOOF,6,9
ROUTE_29,Route 29,6,9,land,Night,9,4,Scatterbug,SPECIES_SCATTERBUG,6,9
ROUTE_29,Route 29,6,9,land,Night,10,1,Sentret,SPECIES_SENTRET,6,9
ROUTE_29,Route 29,6,9,land,Night,11,1,Starly,SPECIES_STARLY,6,9
ROUTE_30,Route 30,12,14,land,Morning,0,30,Sentret,SPECIES_SENTRET,12,14
ROUTE_30,Route 30,12,14,land,Morning,1,20,Budew,SPECIES_BUDEW,12,14
ROUTE_30,Route 30,12,14,land,Morning,2,15,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Morning,3,10,Espurr,SPECIES_ESPURR,12,14
ROUTE_30,Route 30,12,14,land,Morning,4,5,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Morning,5,5,Spinarak,SPECIES_SPINARAK,12,14
ROUTE_30,Route 30,12,14,land,Morning,6,1,Furret,SPECIES_FURRET,12,14
ROUTE_30,Route 30,12,14,land,Morning,7,5,Budew,SPECIES_BUDEW,12,14
ROUTE_30,Route 30,12,14,land,Morning,8,3,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Morning,9,4,Espurr,SPECIES_ESPURR,12,14
ROUTE_30,Route 30,12,14,land,Morning,10,1,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Morning,11,1,Scatterbug,SPECIES_SCATTERBUG,12,14
ROUTE_30,Route 30,12,14,land,Day,0,30,Sentret,SPECIES_SENTRET,12,14
ROUTE_30,Route 30,12,14,land,Day,1,20,Budew,SPECIES_BUDEW,12,14
ROUTE_30,Route 30,12,14,land,Day,2,15,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Day,3,10,Fletchling,SPECIES_FLETCHLING,12,14
ROUTE_30,Route 30,12,14,land,Day,4,5,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Day,5,5,Scatterbug,SPECIES_SCATTERBUG,12,14
ROUTE_30,Route 30,12,14,land,Day,6,1,Furret,SPECIES_FURRET,12,14
ROUTE_30,Route 30,12,14,land,Day,7,5,Budew,SPECIES_BUDEW,12,14
ROUTE_30,Route 30,12,14,land,Day,8,3,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Day,9,4,Espurr,SPECIES_ESPURR,12,14
ROUTE_30,Route 30,12,14,land,Day,10,1,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Day,11,1,Spinarak,SPECIES_SPINARAK,12,14
ROUTE_30,Route 30,12,14,land,Night,0,30,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Night,1,20,Spinarak,SPECIES_SPINARAK,12,14
ROUTE_30,Route 30,12,14,land,Night,2,15,Espurr,SPECIES_ESPURR,12,14
ROUTE_30,Route 30,12,14,land,Night,3,10,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Night,4,5,Furret,SPECIES_FURRET,12,14
ROUTE_30,Route 30,12,14,land,Night,5,5,Budew,SPECIES_BUDEW,12,14
ROUTE_30,Route 30,12,14,land,Night,6,1,Hoothoot,SPECIES_HOOTHOOT,12,14
ROUTE_30,Route 30,12,14,land,Night,7,5,Spinarak,SPECIES_SPINARAK,12,14
ROUTE_30,Route 30,12,14,land,Night,8,3,Espurr,SPECIES_ESPURR,12,14
ROUTE_30,Route 30,12,14,land,Night,9,4,Bunnelby,SPECIES_BUNNELBY,12,14
ROUTE_30,Route 30,12,14,land,Night,10,1,Furret,SPECIES_FURRET,12,14
ROUTE_30,Route 30,12,14,land,Night,11,1,Scatterbug,SPECIES_SCATTERBUG,12,14
CHERRYGROVE_WATER,Cherrygrove Water,10,11,water,All,0,60,Wooper,SPECIES_WOOPER,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,water,All,1,30,Buizel,SPECIES_BUIZEL,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,water,All,2,5,Shellos,SPECIES_SHELLOS,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,water,All,3,4,Clauncher,SPECIES_CLAUNCHER,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,water,All,4,1,Skrelp,SPECIES_SKRELP,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_old,All,0,70,Wooper,SPECIES_WOOPER,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_old,All,1,30,Remoraid,SPECIES_REMORAID,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_good,All,0,60,Buizel,SPECIES_BUIZEL,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_good,All,1,20,Shellos,SPECIES_SHELLOS,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_good,All,2,20,Clauncher,SPECIES_CLAUNCHER,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_super,All,0,40,Floatzel,SPECIES_FLOATZEL,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_super,All,1,40,Gastrodon,SPECIES_GASTRODON,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_super,All,2,15,Clauncher,SPECIES_CLAUNCHER,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_super,All,3,4,Skrelp,SPECIES_SKRELP,10,11
CHERRYGROVE_WATER,Cherrygrove Water,10,11,fishing_super,All,4,1,Octillery,SPECIES_OCTILLERY,10,11
ROUTE_31,Route 31,16,18,land,Morning,0,30,Furret,SPECIES_FURRET,16,18
ROUTE_31,Route 31,16,18,land,Morning,1,20,Ledian,SPECIES_LEDIAN,16,18
ROUTE_31,Route 31,16,18,land,Morning,2,15,Staravia,SPECIES_STARAVIA,16,18
ROUTE_31,Route 31,16,18,land,Morning,3,10,Luxio,SPECIES_LUXIO,16,18
ROUTE_31,Route 31,16,18,land,Morning,4,5,Fletchinder,SPECIES_FLETCHINDER,16,18
