map_key,location_name,route_level_min,route_level_max,encounter_type,time_of_day,slot_index,odds_percent,species_display,species_constant,level_min,level_max
ROUTE_1,Route 1,3,5,land,Morning,0,30,Pidgey,SPECIES_PIDGEY,3,4
ROUTE_1,Route 1,3,5,land,Morning,1,20,Rattata,SPECIES_RATTATA,3,4
ROUTE_1,Route 1,3,5,land,Morning,2,15,Patrat,SPECIES_PATRAT,3,4
ROUTE_1,Route 1,3,5,land,Morning,3,10,Lillipup,SPECIES_LILLIPUP,4,5
ROUTE_1,Route 1,3,5,land,Morning,4,5,Yungoos,SPECIES_YUNGOOS,4,5
ROUTE_1,Route 1,3,5,land,Morning,5,5,Pikipek,SPECIES_PIKIPEK,4,5
ROUTE_1,Route 1,3,5,land,Morning,6,1,Pidgey,SPECIES_PIDGEY,4,5
ROUTE_1,Route 1,3,5,land,Morning,7,5,Lillipup,SPECIES_LILLIPUP,4,5
ROUTE_1,Route 1,3,5,land,Morning,8,3,Patrat,SPECIES_PATRAT,4,5
ROUTE_1,Route 1,3,5,land,Morning,9,4,Pikipek,SPECIES_PIKIPEK,4,5
ROUTE_1,Route 1,3,5,land,Morning,10,1,Yungoos,SPECIES_YUNGOOS,5,5
ROUTE_1,Route 1,3,5,land,Morning,11,1,Pidgey,SPECIES_PIDGEY,5,5
ROUTE_1,Route 1,3,5,land,Day,0,30,Pidgey,SPECIES_PIDGEY,3,4
ROUTE_1,Route 1,3,5,land,Day,1,20,Pikipek,SPECIES_PIKIPEK,3,4
ROUTE_1,Route 1,3,5,land,Day,2,15,Lillipup,SPECIES_LILLIPUP,3,4
ROUTE_1,Route 1,3,5,land,Day,3,10,Patrat,SPECIES_PATRAT,4,5
ROUTE_1,Route 1,3,5,land,Day,4,5,Yungoos,SPECIES_YUNGOOS,4,5
ROUTE_1,Route 1,3,5,land,Day,5,5,Rattata,SPECIES_RATTATA,4,5
ROUTE_1,Route 1,3,5,land,Day,6,1,Pidgey,SPECIES_PIDGEY,4,5
ROUTE_1,Route 1,3,5,land,Day,7,5,Pikipek,SPECIES_PIKIPEK,4,5
ROUTE_1,Route 1,3,5,land,Day,8,3,Lillipup,SPECIES_LILLIPUP,4,5
ROUTE_1,Route 1,3,5,land,Day,9,4,Patrat,SPECIES_PATRAT,4,5
ROUTE_1,Route 1,3,5,land,Day,10,1,Yungoos,SPECIES_YUNGOOS,5,5
ROUTE_1,Route 1,3,5,land,Day,11,1,Pidgey,SPECIES_PIDGEY,5,5
ROUTE_1,Route 1,3,5,land,Night,0,30,Rattata (Alolan),SPECIES_RATTATA_ALOLAN,3,4
ROUTE_1,Route 1,3,5,land,Night,1,20,Patrat,SPECIES_PATRAT,3,4
ROUTE_1,Route 1,3,5,land,Night,2,15,Yungoos,SPECIES_YUNGOOS,3,4
ROUTE_1,Route 1,3,5,land,Night,3,10,Lillipup,SPECIES_LILLIPUP,4,5
ROUTE_1,Route 1,3,5,land,Night,4,5,Pidgey,SPECIES_PIDGEY,4,5
ROUTE_1,Route 1,3,5,land,Night,5,5,Rattata (Alolan),SPECIES_RATTATA_ALOLAN,4,5
ROUTE_1,Route 1,3,5,land,Night,6,1,Rattata,SPECIES_RATTATA,4,5
ROUTE_1,Route 1,3,5,land,Night,7,5,Yungoos,SPECIES_YUNGOOS,4,5
ROUTE_1,Route 1,3,5,land,Night,8,3,Lillipup,SPECIES_LILLIPUP,4,5
ROUTE_1,Route 1,3,5,land,Night,9,4,Pidgey,SPECIES_PIDGEY,4,5
ROUTE_1,Route 1,3,5,land,Night,10,1,Rattata (Alolan),SPECIES_RATTATA_ALOLAN,5,5
ROUTE_1,Route 1,3,5,land,Night,11,1,Pikipek,SPECIES_PIKIPEK,5,5
ROUTE_2,Route 2,6,7,land,Morning,0,30,Caterpie,SPECIES_CATERPIE,6,7
ROUTE_2,Route 2,6,7,land,Morning,1,20,Bellsprout,SPECIES_BELLSPROUT,6,7
ROUTE_2,Route 2,6,7,land,Morning,2,15,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Morning,3,10,Cutiefly,SPECIES_CUTIEFLY,7,7
ROUTE_2,Route 2,6,7,land,Morning,4,5,Oddish,SPECIES_ODDISH,7,7
ROUTE_2,Route 2,6,7,land,Morning,5,5,Purrloin,SPECIES_PURRLOIN,7,7
ROUTE_2,Route 2,6,7,land,Morning,6,1,Metapod,SPECIES_METAPOD,6,7
ROUTE_2,Route 2,6,7,land,Morning,7,5,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Morning,8,3,Cutiefly,SPECIES_CUTIEFLY,6,7
ROUTE_2,Route 2,6,7,land,Morning,9,4,Bellsprout,SPECIES_BELLSPROUT,6,7
ROUTE_2,Route 2,6,7,land,Morning,10,1,Purrloin,SPECIES_PURRLOIN,7,7
ROUTE_2,Route 2,6,7,land,Morning,11,1,Oddish,SPECIES_ODDISH,7,7
ROUTE_2,Route 2,6,7,land,Day,0,30,Caterpie,SPECIES_CATERPIE,6,7
ROUTE_2,Route 2,6,7,land,Day,1,20,Bellsprout,SPECIES_BELLSPROUT,6,7
ROUTE_2,Route 2,6,7,land,Day,2,15,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Day,3,10,Oddish,SPECIES_ODDISH,7,7
ROUTE_2,Route 2,6,7,land,Day,4,5,Cutiefly,SPECIES_CUTIEFLY,7,7
ROUTE_2,Route 2,6,7,land,Day,5,5,Purrloin,SPECIES_PURRLOIN,7,7
ROUTE_2,Route 2,6,7,land,Day,6,1,Metapod,SPECIES_METAPOD,6,7
ROUTE_2,Route 2,6,7,land,Day,7,5,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Day,8,3,Bellsprout,SPECIES_BELLSPROUT,6,7
ROUTE_2,Route 2,6,7,land,Day,9,4,Cutiefly,SPECIES_CUTIEFLY,6,7
ROUTE_2,Route 2,6,7,land,Day,10,1,Purrloin,SPECIES_PURRLOIN,7,7
ROUTE_2,Route 2,6,7,land,Day,11,1,Oddish,SPECIES_ODDISH,7,7
ROUTE_2,Route 2,6,7,land,Night,0,30,Oddish,SPECIES_ODDISH,6,7
ROUTE_2,Route 2,6,7,land,Night,1,20,Rattata (Alolan),SPECIES_RATTATA_ALOLAN,6,7
ROUTE_2,Route 2,6,7,land,Night,2,15,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Night,3,10,Caterpie,SPECIES_CATERPIE,7,7
ROUTE_2,Route 2,6,7,land,Night,4,5,Bellsprout,SPECIES_BELLSPROUT,7,7
ROUTE_2,Route 2,6,7,land,Night,5,5,Cutiefly,SPECIES_CUTIEFLY,7,7
ROUTE_2,Route 2,6,7,land,Night,6,1,Metapod,SPECIES_METAPOD,6,7
ROUTE_2,Route 2,6,7,land,Night,7,5,Oddish,SPECIES_ODDISH,6,7
ROUTE_2,Route 2,6,7,land,Night,8,3,Purrloin,SPECIES_PURRLOIN,6,7
ROUTE_2,Route 2,6,7,land,Night,9,4,Grubbin,SPECIES_GRUBBIN,6,7
ROUTE_2,Route 2,6,7,land,Night,10,1,Rattata (Alolan),SPECIES_RATTATA_ALOLAN,7,7
ROUTE_2,Route 2,6,7,land,Night,11,1,Purrloin,SPECIES_PURRLOIN,7,7
