# Append-only custom flag ledger.
# Never edit or remove an existing row. Add new IDs only at the end.
# Removed flags remain reserved under their original name.
0x000 FLAG_QUEST_PALLET_TOWN_STARTED
0x001 FLAG_QUEST_PALLET_TOWN_COMPLETED
0x002 FLAG_QUEST_VIOLET_NPCS_STARTED
0x003 FLAG_QUEST_VIOLET_NPCS_COMPLETED
0x004 FLAG_QUEST_VIRIDIAN_GYM_STARTED
0x005 FLAG_QUEST_VIRIDIAN_GYM_COMPLETED
0x006 FLAG_QUEST_BROCK_STARTED
0x007 FLAG_QUEST_BROCK_COMPLETED
0x008 FLAG_QUEST_CERULEAN_WES_STARTED
0x009 FLAG_QUEST_CERULEAN_WES_COMPLETED
0x00A FLAG_QUEST_CAPE_WES_STARTED
0x00B FLAG_QUEST_CAPE_WES_COMPLETED
0x00C FLAG_QUEST_PEWTER_NPCS_STARTED
0x00D FLAG_QUEST_PEWTER_NPCS_COMPLETED
0x00E FLAG_QUEST_MT_MOON_STARTED
0x00F FLAG_QUEST_MT_MOON_COMPLETED
0x010 FLAG_QUEST_CERULEAN_NPCS_STARTED
0x011 FLAG_QUEST_CERULEAN_NPCS_COMPLETED
0x012 FLAG_QUEST_TALK_WES_STARTED
0x013 FLAG_QUEST_TALK_WES_COMPLETED
0x014 FLAG_QUEST_TALK_TEAM_STARTED
0x015 FLAG_QUEST_TALK_TEAM_COMPLETED
0x016 FLAG_QUEST_SNAG_MACHINE_STARTED
0x017 FLAG_QUEST_SNAG_MACHINE_COMPLETED
0x018 FLAG_QUEST_SHADOW_TRAINER_STARTED
0x019 FLAG_QUEST_SHADOW_TRAINER_COMPLETED
0x01A FLAG_QUEST_DEFEAT_MISTY_STARTED
0x01B FLAG_QUEST_DEFEAT_MISTY_COMPLETED
0x01C FLAG_QUEST_ROUTE9_GUARDS_STARTED
0x01D FLAG_QUEST_ROUTE9_GUARDS_COMPLETED
0x01E FLAG_QUEST_KUKUI_SHADOW_STARTED
0x01F FLAG_QUEST_KUKUI_SHADOW_COMPLETED
0x020 FLAG_QUEST_PLASMA_TUNNEL_STARTED
0x021 FLAG_QUEST_PLASMA_TUNNEL_COMPLETED
0x022 FLAG_QUEST_DEFEAT_FALKNER_STARTED
0x023 FLAG_QUEST_DEFEAT_FALKNER_COMPLETED
0x024 FLAG_QUEST_SLOWPOKE_WELL_FLARE_STARTED
0x025 FLAG_QUEST_SLOWPOKE_WELL_FLARE_COMPLETED
0x026 FLAG_QUEST_KURT_APRICOT_STARTED
0x027 FLAG_QUEST_KURT_APRICOT_COMPLETED
