Overworld Wild Encounter Maps (gWildMonHeaders)
Format: MAP_NAME | Time | BaseLabel | Types

MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS | Morning | gAbandonedShip_HiddenFloorCorridors_Morning | water, fishing
MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS | Day | gAbandonedShip_HiddenFloorCorridors_Day | water, fishing
MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS | Evening | gAbandonedShip_HiddenFloorCorridors_Evening | water, fishing
MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS | Night | gAbandonedShip_HiddenFloorCorridors_Night | water, fishing
MAP_ABANDONED_SHIP_ROOMS_B1F | Morning | gAbandonedShip_Rooms_B1F_Morning | water, fishing
MAP_ABANDONED_SHIP_ROOMS_B1F | Day | gAbandonedShip_Rooms_B1F_Day | water, fishing
MAP_ABANDONED_SHIP_ROOMS_B1F | Evening | gAbandonedShip_Rooms_B1F_Evening | water, fishing
MAP_ABANDONED_SHIP_ROOMS_B1F | Night | gAbandonedShip_Rooms_B1F_Night | water, fishing
MAP_ALTERING_CAVE | Morning | gAlteringCave1_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave2_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave3_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave4_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave5_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave6_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave7_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave8_Morning | land
MAP_ALTERING_CAVE | Morning | gAlteringCave9_Morning | land
MAP_ALTERING_CAVE | Day | gAlteringCave1_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave2_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave3_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave4_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave5_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave6_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave7_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave8_Day | land
MAP_ALTERING_CAVE | Day | gAlteringCave9_Day | land
MAP_ALTERING_CAVE | Evening | gAlteringCave1_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave2_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave3_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave4_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave5_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave6_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave7_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave8_Evening | land
MAP_ALTERING_CAVE | Evening | gAlteringCave9_Evening | land
MAP_ALTERING_CAVE | Night | gAlteringCave1_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave2_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave3_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave4_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave5_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave6_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave7_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave8_Night | land
MAP_ALTERING_CAVE | Night | gAlteringCave9_Night | land
MAP_ARTISAN_CAVE_1F | Morning | gArtisanCave_1F_Morning | land
MAP_ARTISAN_CAVE_1F | Day | gArtisanCave_1F_Day | land
MAP_ARTISAN_CAVE_1F | Evening | gArtisanCave_1F_Evening | land
MAP_ARTISAN_CAVE_1F | Night | gArtisanCave_1F_Night | land
MAP_ARTISAN_CAVE_B1F | Morning | gArtisanCave_B1F_Morning | land
MAP_ARTISAN_CAVE_B1F | Day | gArtisanCave_B1F_Day | land
MAP_ARTISAN_CAVE_B1F | Evening | gArtisanCave_B1F_Evening | land
MAP_ARTISAN_CAVE_B1F | Night | gArtisanCave_B1F_Night | land
MAP_BURNED_TOWER_1F | Morning | gBurnedTower_1F_Morning | land, water, rock_smash, fishing
MAP_BURNED_TOWER_1F | Day | gBurnedTower_1F_Day | land, water, rock_smash, fishing
MAP_BURNED_TOWER_1F | Evening | gBurnedTower_1F_Evening | land, water, rock_smash, fishing
MAP_BURNED_TOWER_1F | Night | gBurnedTower_1F_Night | land, water, rock_smash, fishing
MAP_BURNED_TOWER_B1F | Morning | gBurnedTower_B1F_Morning | land, water, rock_smash, fishing
MAP_BURNED_TOWER_B1F | Day | gBurnedTower_B1F_Day | land, water, rock_smash, fishing
MAP_BURNED_TOWER_B1F | Evening | gBurnedTower_B1F_Evening | land, water, rock_smash, fishing
MAP_BURNED_TOWER_B1F | Night | gBurnedTower_B1F_Night | land, water, rock_smash, fishing
MAP_CAVE_OF_ORIGIN_1F | Morning | gCaveOfOrigin_1F_Morning | land
MAP_CAVE_OF_ORIGIN_1F | Day | gCaveOfOrigin_1F_Day | land
MAP_CAVE_OF_ORIGIN_1F | Evening | gCaveOfOrigin_1F_Evening | land
MAP_CAVE_OF_ORIGIN_1F | Night | gCaveOfOrigin_1F_Night | land
MAP_CAVE_OF_ORIGIN_ENTRANCE | Morning | gCaveOfOrigin_Entrance_Morning | land
MAP_CAVE_OF_ORIGIN_ENTRANCE | Day | gCaveOfOrigin_Entrance_Day | land
MAP_CAVE_OF_ORIGIN_ENTRANCE | Evening | gCaveOfOrigin_Entrance_Evening | land
MAP_CAVE_OF_ORIGIN_ENTRANCE | Night | gCaveOfOrigin_Entrance_Night | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1 | Morning | gCaveOfOrigin_UnusedRubySapphireMap1_Morning | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1 | Day | gCaveOfOrigin_UnusedRubySapphireMap1_Day | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1 | Evening | gCaveOfOrigin_UnusedRubySapphireMap1_Evening | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1 | Night | gCaveOfOrigin_UnusedRubySapphireMap1_Night | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2 | Morning | gCaveOfOrigin_UnusedRubySapphireMap2_Morning | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2 | Day | gCaveOfOrigin_UnusedRubySapphireMap2_Day | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2 | Evening | gCaveOfOrigin_UnusedRubySapphireMap2_Evening | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2 | Night | gCaveOfOrigin_UnusedRubySapphireMap2_Night | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3 | Morning | gCaveOfOrigin_UnusedRubySapphireMap3_Morning | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3 | Day | gCaveOfOrigin_UnusedRubySapphireMap3_Day | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3 | Evening | gCaveOfOrigin_UnusedRubySapphireMap3_Evening | land
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3 | Night | gCaveOfOrigin_UnusedRubySapphireMap3_Night | land
MAP_CERULEAN_CAVE_1F | Morning | gCeruleanCave_1F_Morning | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_1F | Day | gCeruleanCave_1F_Day | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_1F | Evening | gCeruleanCave_1F_Evening | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_1F | Night | gCeruleanCave_1F_Night | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B1F | Morning | gCeruleanCave_B1F_Morning | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B1F | Day | gCeruleanCave_B1F_Day | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B1F | Evening | gCeruleanCave_B1F_Evening | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B1F | Night | gCeruleanCave_B1F_Night | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B2F | Morning | gCeruleanCave_B2F_Morning | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B2F | Day | gCeruleanCave_B2F_Day | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B2F | Evening | gCeruleanCave_B2F_Evening | land, water, rock_smash, fishing
MAP_CERULEAN_CAVE_B2F | Night | gCeruleanCave_B2F_Night | land, water, rock_smash, fishing
MAP_CLIFF_EDGE_GATE | Morning | gCliffEdgeGate_Morning | land, water, rock_smash, fishing
MAP_CLIFF_EDGE_GATE | Day | gCliffEdgeGate_Day | land, water, rock_smash, fishing
MAP_CLIFF_EDGE_GATE | Evening | gCliffEdgeGate_Evening | land, water, rock_smash, fishing
MAP_CLIFF_EDGE_GATE | Night | gCliffEdgeGate_Night | land, water, rock_smash, fishing
